,index,center_x,e x,e y,u x,u y,x
274,274,640.0,-4.0,-40.0,6.803,0,644
275,275,640.0,-4.0,-40.0,6.906,0,644
276,276,640.0,-4.0,-40.0,7.005,0,644
277,277,640.0,-5.0,-40.0,7.594,0,645
278,278,640.0,-5.0,-40.0,7.736,0,645
279,279,640.0,-5.0,-40.0,7.847,0,645
280,280,640.0,-5.0,-40.0,7.966,0,645
281,281,640.0,-7.0,-40.0,9.111,0,647
282,282,640.0,-8.0,-40.0,9.758,0,648
283,283,640.0,-8.0,-40.0,9.953,0,648
284,284,640.0,-8.0,-40.0,10.162,0,648
285,285,640.0,-8.0,-40.0,10.36,0,648
286,286,640.0,-10.0,-40.0,11.562,0,650
287,287,640.0,-10.0,-40.0,11.784,0,650
288,288,640.0,-10.0,-40.0,12.035,0,650
289,289,640.0,-9.0,-40.0,11.789,0,649
290,290,640.0,-9.0,-40.0,12.018,0,649
291,291,640.0,-9.0,-40.0,12.237,0,649
292,292,640.0,-7.0,-40.0,11.468,0,647
293,293,640.0,-6.0,-40.0,11.146,0,646
294,294,640.0,-6.0,-40.0,11.294,0,646
295,295,640.0,-2.0,-40.0,9.463,0,642
296,296,640.0,0.0,-40.0,8.521,0,640
297,297,640.0,0.0,-40.0,8.521,0,640
298,298,640.0,2.0,-40.0,7.531,0,638
299,299,640.0,3.0,-40.0,6.98,0,637
300,300,640.0,6.0,-41.0,5.413,0,634
301,301,640.0,6.0,-41.0,5.286,0,634
302,302,640.0,6.0,-41.0,5.131,0,634
303,303,640.0,8.0,-41.0,3.787,0,632
304,304,640.0,8.0,-41.0,3.582,0,632
305,305,640.0,6.0,-41.0,4.383,0,634
306,306,640.0,4.0,-41.0,5.216,0,636
307,307,640.0,4.0,-41.0,5.124,0,636
308,308,640.0,0.0,-41.0,7.006,0,640
309,309,640.0,-4.0,-41.0,8.986,0,644
310,310,640.0,-4.0,-41.0,9.086,0,644
311,311,640.0,-5.0,-41.0,9.674,0,645
312,312,640.0,-8.0,-41.0,11.297,0,648
313,313,640.0,-10.0,-41.0,12.48,0,650
314,314,640.0,-10.0,-41.0,12.742,0,650
315,315,640.0,-10.0,-41.0,12.99,0,650
316,316,640.0,-10.0,-41.0,13.233,0,650
317,317,640.0,-10.0,-41.0,13.495,0,650
318,318,640.0,-8.0,-42.0,12.744,0,648
319,319,640.0,-7.0,-41.0,12.441,0,647
320,320,640.0,-5.0,-41.0,11.629,0,645
321,321,640.0,-5.0,-41.0,11.753,0,645
322,322,640.0,0.0,-42.0,9.4,0,640
323,323,640.0,2.0,-42.0,8.412,0,638
324,324,640.0,2.0,-42.0,8.36,0,638
325,325,640.0,7.0,-42.0,5.82,0,633
326,326,640.0,8.0,-42.0,5.159,0,632
327,327,640.0,9.0,-42.0,4.468,0,631
328,328,640.0,9.0,-42.0,4.248,0,631
329,329,640.0,9.0,-42.0,4.001,0,631
330,330,640.0,9.0,-42.0,3.78,0,631
331,331,640.0,9.0,-42.0,3.577,0,631
332,332,640.0,8.0,-42.0,3.781,0,632
333,333,640.0,6.0,-42.0,4.632,0,634
334,334,640.0,5.0,-42.0,4.951,0,635
335,335,640.0,5.0,-42.0,4.85,0,635
336,336,640.0,1.0,-42.0,6.707,0,639
337,337,640.0,0.0,-42.0,7.178,0,640
338,338,640.0,0.0,-42.0,7.178,0,640
339,339,640.0,0.0,-42.0,7.178,0,640
340,340,640.0,-2.0,-42.0,8.166,0,642
341,341,640.0,-4.0,-42.0,9.204,0,644
342,342,640.0,-4.0,-42.0,9.308,0,644
343,343,640.0,-4.0,-42.0,9.405,0,644
344,344,640.0,-4.0,-42.0,9.513,0,644
345,345,640.0,-2.0,-42.0,8.62,0,642
346,346,640.0,-2.0,-42.0,8.666,0,642
347,347,640.0,-1.0,-42.0,8.221,0,641
348,348,640.0,0.0,-42.0,7.751,0,640
349,349,640.0,0.0,-42.0,7.751,0,640
350,350,640.0,0.0,-42.0,7.751,0,640
351,351,640.0,1.0,-42.0,7.254,0,639
352,352,640.0,1.0,-42.0,7.23,0,639
353,353,640.0,1.0,-42.0,7.204,0,639
354,354,640.0,2.0,-43.0,6.684,0,638
355,355,640.0,3.0,-42.0,6.141,0,637
356,356,640.0,3.0,-42.0,6.068,0,637
357,357,640.0,5.0,-43.0,5.0,0,635
358,358,640.0,5.0,-43.0,4.881,0,635
359,359,640.0,5.0,-43.0,4.753,0,635
360,360,640.0,5.0,-43.0,4.624,0,635
361,361,640.0,5.0,-43.0,4.507,0,635
362,362,640.0,5.0,-43.0,4.355,0,635
363,363,640.0,5.0,-43.0,4.242,0,635
364,364,640.0,5.0,-43.0,4.133,0,635
365,365,640.0,3.0,-43.0,4.998,0,637
366,366,640.0,3.0,-43.0,4.922,0,637
367,367,640.0,2.0,-43.0,5.345,0,638
368,368,640.0,2.0,-43.0,5.295,0,638
369,369,640.0,0.0,-43.0,6.236,0,640
370,370,640.0,0.0,-43.0,6.236,0,640
371,371,640.0,0.0,-43.0,6.236,0,640
372,372,640.0,0.0,-43.0,6.236,0,640
373,373,640.0,0.0,-43.0,6.236,0,640
374,374,640.0,0.0,-43.0,6.236,0,640
375,375,640.0,0.0,-43.0,6.236,0,640
376,376,640.0,0.0,-43.0,6.236,0,640
377,377,640.0,0.0,-43.0,6.236,0,640
378,378,640.0,0.0,-43.0,6.236,0,640
379,379,640.0,0.0,-43.0,6.236,0,640
380,380,640.0,0.0,-43.0,6.236,0,640
381,381,640.0,2.0,-43.0,5.231,0,638
382,382,640.0,2.0,-43.0,5.199,0,638
383,383,640.0,2.0,-43.0,5.146,0,638
384,384,640.0,5.0,-43.0,3.613,0,635
385,385,640.0,5.0,-43.0,3.492,0,635
386,386,640.0,6.0,-43.0,2.853,0,634
387,387,640.0,6.0,-43.0,2.721,0,634
388,388,640.0,7.0,-43.0,2.068,0,633
389,389,640.0,7.0,-43.0,1.911,0,633
390,390,640.0,7.0,-43.0,1.731,0,633
391,391,640.0,7.0,-43.0,1.562,0,633
392,392,640.0,6.0,-43.0,1.875,0,634
393,393,640.0,6.0,-43.0,1.711,0,634
394,394,640.0,6.0,-43.0,1.564,0,634
395,395,640.0,3.0,-43.0,2.908,0,637
396,396,640.0,2.0,-43.0,3.329,0,638
397,397,640.0,2.0,-43.0,3.28,0,638
398,398,640.0,0.0,-43.0,4.222,0,640
399,399,640.0,0.0,-43.0,4.222,0,640
400,400,640.0,0.0,-42.0,4.222,0,640
401,401,640.0,0.0,-42.0,4.222,0,640
402,402,640.0,0.0,-42.0,4.222,0,640
403,403,640.0,0.0,-42.0,4.222,0,640
404,404,640.0,0.0,-42.0,4.222,0,640
405,405,640.0,0.0,-42.0,4.222,0,640
406,406,640.0,1.0,-42.0,3.728,0,639
407,407,640.0,1.0,-42.0,3.701,0,639
408,408,640.0,5.0,-42.0,1.704,0,635
409,409,640.0,6.0,-42.0,1.096,0,634
410,410,640.0,6.0,-42.0,0.943,0,634
411,411,640.0,8.0,-42.0,-0.208,0,632
412,412,640.0,9.0,-43.0,-0.885,0,631
413,413,640.0,9.0,-43.0,-1.113,0,631
414,414,640.0,10.0,-43.0,-1.85,0,630
415,415,640.0,13.0,-43.0,-3.558,0,627
416,416,640.0,14.0,-43.0,-4.394,0,626
417,417,640.0,14.0,-43.0,-4.725,0,626
418,418,640.0,15.0,-43.0,-5.599,0,625
419,419,640.0,16.0,-43.0,-6.454,0,624
420,420,640.0,16.0,-43.0,-6.861,0,624
421,421,640.0,16.0,-43.0,-7.257,0,624
422,422,640.0,18.0,-43.0,-8.631,0,622
423,423,640.0,20.0,-42.0,-10.1,0,620
424,424,640.0,20.0,-42.0,-10.557,0,620
425,425,640.0,23.0,-43.0,-12.553,0,617
426,426,640.0,25.0,-43.0,-14.165,0,615
427,427,640.0,26.0,-43.0,-15.282,0,614
428,428,640.0,26.0,-43.0,-15.837,0,614
429,429,640.0,27.0,-43.0,-17.034,0,613
430,430,640.0,27.0,-43.0,-17.744,0,613
431,431,640.0,25.0,-43.0,-17.385,0,615
432,432,640.0,25.0,-43.0,-18.002,0,615
433,433,640.0,23.0,-43.0,-17.605,0,617
434,434,640.0,20.0,-43.0,-16.743,0,620
435,435,640.0,20.0,-43.0,-17.187,0,620
436,436,640.0,16.0,-43.0,-15.743,0,624
437,437,640.0,13.0,-43.0,-14.655,0,627
438,438,640.0,10.0,-43.0,-13.484,0,630
439,439,640.0,10.0,-43.0,-13.729,0,630
440,440,640.0,6.0,-43.0,-11.991,0,634
441,441,640.0,3.0,-43.0,-10.659,0,637
442,442,640.0,3.0,-43.0,-10.733,0,637
443,443,640.0,0.0,-43.0,-9.321,0,640
444,444,640.0,-1.0,-43.0,-8.825,0,641
445,445,640.0,-1.0,-43.0,-8.801,0,641
446,446,640.0,-4.0,-43.0,-7.289,0,644
447,447,640.0,-4.0,-43.0,-7.195,0,644
448,448,640.0,-4.0,-43.0,-7.089,0,644
449,449,640.0,-4.0,-43.0,-6.997,0,644
450,450,640.0,-4.0,-43.0,-6.89,0,644
451,451,640.0,-2.0,-43.0,-7.781,0,642
452,452,640.0,-2.0,-43.0,-7.733,0,642
453,453,640.0,-1.0,-43.0,-8.177,0,641
454,454,640.0,0.0,-43.0,-8.647,0,640
455,455,640.0,0.0,-43.0,-8.647,0,640
456,456,640.0,0.0,-43.0,-8.647,0,640
457,457,640.0,3.0,-43.0,-10.136,0,637
458,458,640.0,6.0,-43.0,-11.71,0,634
459,459,640.0,6.0,-43.0,-11.846,0,634
460,460,640.0,7.0,-43.0,-12.49,0,633
461,461,640.0,6.0,-43.0,-12.164,0,634
462,462,640.0,3.0,-45.0,-10.826,0,637
463,463,640.0,3.0,-45.0,-10.904,0,637
464,464,640.0,-2.0,-45.0,-8.501,0,642
465,465,640.0,-8.0,-45.0,-5.483,0,648
466,466,640.0,-12.0,-45.0,-3.296,0,652
467,467,640.0,-12.0,-45.0,-3.008,0,652
468,468,640.0,-19.0,-45.0,0.786,0,659
469,469,640.0,-24.0,-45.0,3.764,0,664
470,470,640.0,-24.0,-45.0,4.274,0,664
471,471,640.0,-26.0,-45.0,5.881,0,666
472,472,640.0,-26.0,-45.0,6.6,0,666
473,473,640.0,-26.0,-45.0,7.198,0,666
474,474,640.0,-24.0,-45.0,6.914,0,664
475,475,640.0,-24.0,-45.0,7.481,0,664
476,476,640.0,-21.0,-45.0,6.555,0,661
477,477,640.0,-21.0,-45.0,7.078,0,661
478,478,640.0,-16.0,-45.0,5.156,0,656
479,479,640.0,-13.0,-45.0,4.042,0,653
480,480,640.0,-10.0,-45.0,2.892,0,650
481,481,640.0,-10.0,-45.0,3.136,0,650
482,482,640.0,-5.0,-45.0,0.92,0,645
483,483,640.0,-2.0,-45.0,-0.448,0,642
484,484,640.0,-2.0,-45.0,-0.398,0,642
485,485,640.0,-2.0,-45.0,-0.35,0,642
486,486,640.0,0.0,-43.0,-1.291,0,640
487,487,640.0,0.0,-45.0,-1.291,0,640
488,488,640.0,0.0,-45.0,-1.291,0,640
489,489,640.0,0.0,-45.0,-1.291,0,640
490,490,640.0,0.0,-43.0,-1.291,0,640
491,491,640.0,0.0,-45.0,-1.291,0,640
492,492,640.0,0.0,-45.0,-1.291,0,640
493,493,640.0,-2.0,-43.0,-0.31,0,642
494,494,640.0,-2.0,-45.0,-0.259,0,642
495,495,640.0,-2.0,-45.0,-0.209,0,642
496,496,640.0,-2.0,-43.0,-0.161,0,642
497,497,640.0,-5.0,-45.0,1.379,0,645
498,498,640.0,-5.0,-45.0,1.504,0,645
499,499,640.0,-5.0,-45.0,1.63,0,645
500,500,640.0,-5.0,-43.0,1.749,0,645
501,501,640.0,-5.0,-43.0,1.875,0,645
502,502,640.0,-5.0,-45.0,2.003,0,645
